Product_ID,Brand,Species,Product_Name,breed_size,Type,AAFCO,life_stage,complete_and_balanced,Ingredients ( protein_source),mentioned_diet_category,not_recommended_for,good_for / recommended_for,Protein (Dry Matter%),Protein (g/1000 kcal),Fat (Dry Matter%),Fat (g/1000 kcal),Fiber (Crude) (Dry Matter%),Fiber (Crude) (g/1000 kcal),Total Dietary Fiber (TDF) (Dry Matter%),Total Dietary Fiber (TDF) (g/1000 kcal),Carbohydrate (NFE) (Dry Matter%),Carbohydrate (NFE) (g/1000 kcal),Calcium (Dry Matter%),Calcium (g/1000 kcal),Phosphorus (Dry Matter%),Phosphorus (g/1000 kcal),Potassium (Dry Matter%),Potassium (g/1000 kcal),Sodium (Dry Matter%),Sodium (g/1000 kcal),Magnesium (Dry Matter%),Magnesium (g/1000 kcal),Copper (Dry Matter (mg/kg)),Copper (mg/1000 kcal),Taurine (Dry Matter%),Taurine (g/1000 kcal),Total Omega-6Fatty Acids (g/1000 kcal),Total Omega-6Fatty Acids (Dry Matter%),Total Omega-3Fatty Acids (g/1000 kcal),Total Omega-3Fatty Acids (Dry Matter%),EPA & DHA (Dry Matter%),EPA & DHA (g/1000 kcal),Vitamin C (Dry Matter%),Vitamin C (g/1000 kcal),Vitamin E (Dry Matter (IU/kg)),Vitamin E (IU/1000 kcal),Other_Vitamins,Zinc (mg/1000 kcal),Zinc (Dry Matter (mg/kg)),Vitamin D3 (IU/1000 kcal),Vitamin D3 (Dry Matter (IU/kg)),Iodine (g/1000 kcal),Iodine (Dry Matter%),Ash (g/1000 kcal),Ash (Dry Matter%),Chloride (g/1000 kcal),Chloride (Dry Matter%),Vitamin A (Dry Matter (IU/kg)),Vitamin A (IU/1000 kcal),Biotin (Dry Matter mg/kg)),Glucosamine (Dry Matter%),Glucosamine (g/1000 kcal)
H_D_P37,Hills,Dog,w/d Multi-Benefit Dog Food (Chicken Flavor),"small,medium,large",Canned,M,Adult,Yes,"Pork Liver,Chicken,Corn,Barley,Egg,Flaxseed","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation,urinary problems,debilitation,dehydration,underweight","diabetes,urinary health,kidney health,Gastrointestinal Health,Maintain Muscle Mass,Healthy Immune System",19.3,57,11.4,33,13.7,40,25.2,74,50.4,148,0.73,2.15,0.53,1.54,0.88,2.59,0.3,0.89,0.105,0.31,,,,,8.28,2.82,3.28,1.12,,,0.0187,0.0548,921,270.4," B1,B3,B5,B12,B6,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P38,Hills,Dog,w/d Multi-Benefit Dog Food (Vegetable & Chicken Stew),"small,medium,large",Stew,M,Adult,Yes,"Pork Liver,Chicken,Rice,Pea,Corn,carrot","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation,urinary problems,debilitation,dehydration,underweight","diabetes,urinary health,kidney health,Gastrointestinal Health,Maintain Muscle Mass,Healthy Immune System",21.2,65,10.1,31,14.1,43,25.9,79,48.7,149,0.91,2.78,0.6,1.83,0.95,2.92,0.33,1,0.08,0.24,,,,,10.01,3.26,1.21,0.39,,,0.0297,0.0912,650,199.2," B1,B6,B3,B5,B12,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P39,Hills,Dog,c/d Multicare Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Corn,Rice,Chicken,soy,Egg,flaxseed",",Moderate Protein,Moderate Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,urinary problems,struvite,n-calcium oxalate crystalluria,Hyperlipidemia,heart failure,pancreatitis","urinary health,kidney health",22,54,17.2,41,1.5,4,7.4,18,54.6,131,0.63,1.51,0.57,1.38,0.7,1.69,0.25,0.59,0.1,0.24,,,,,10.86,4.51,1.93,0.8,,,0.0006,0.0015,748,180.2," E,B3,B1,B5,B6,A,B7,B2,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P40,Hills,Dog,c/d Multicare Dog Food (Chicken Flavor),"small,medium,large",Canned,M,Adult,Yes,"Beef,Chicken,Rice,Corn,Pork Liver",",Moderate Protein,Moderate Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,urinary problems,struvite,n-calcium oxalate crystalluria,Hyperlipidemia,heart failure,pancreatitis","urinary health,kidney health",24.3,60,16.6,41,3.1,8,7,17,51,125,0.65,1.6,0.47,1.17,0.93,2.29,0.29,0.71,0.07,0.17,,,,,9.9,4.03,2.07,0.84,,,0.0036,0.009,954,234.8," E,B1,B6,B3,B5,B12,B2,B7,B9,D3",,,,,,,,,,,,,,,
H_D_P41,Hills,Dog,c/d Multicare Dog Food (Chicken & Vegetable stew),"small,medium,large",Stew,M,Adult,Yes,"Chicken,Pork Liver,Rice,Pea,Corn,carrot",",Moderate Protein,Moderate Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,urinary problems,struvite,n-calcium oxalate crystalluria,Hyperlipidemia,heart failure,pancreatitis","urinary health,kidney health",22.8,57,18.3,46,5.1,13,11.8,29,48.6,121,0.88,2.19,0.54,1.34,1,2.48,0.29,0.73,0.05,0.13,,,,,11,4.42,1.98,0.8,,,0.0008,0.002,825,205.3," E,B1,B6,B3,B5,B12,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P42,Hills,Dog,c/d Multicare + Metabolic Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Rice,Corn,pea,Chicken,tomato","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation,urinary problems,cystine and ammonium urate stones","urinary health,kidney health,Gastrointestinal Health",27.5,80,12.5,36,15,44,23.6,68,40.4,117,0.65,1.89,0.45,1.31,0.67,1.96,0.28,0.81,0.08,0.24,,,,,10.38,3.58,2.79,0.96,,,0.0006,0.0017,1168,338.9," E,B3,B1,B6,B5,B2,B7,B12,A,B9,D3",,,,,,,,,,,,,,,
H_D_P43,Hills,Dog,u/d Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Rice,Corn,Egg,potato,flaxseed","low sodium,Low Protein,High Fat,Low Fiber,High Carb","pregnancy,lactation,truvite urolithiasis,Hyperlipidemia,heart failure,hypoalbuminemia,pancreatitis,","urinary health,kidney health,Heart Health",13.8,32,20.7,48,1.7,4,4,9,59.8,138,0.64,1.47,0.32,0.74,0.68,1.56,0.22,0.51,0.1,0.23,,,,,8.8,3.81,3.14,1.36,,,0,0.0001,751,173.4," E,B3,B1,B6,B5,B2,B7,B12,A,B9,D3",,,,,,,,,,,,,,,
H_D_P44,Hills,Dog,u/d Dog Food (Chicken Flavor),"small,medium,large",Canned,M,Adult,Yes,"Corn,Egg,Pork Liver,Rice","Low Sodium,Low Protein,High Fat,Low Fiber,Moderate Carb","pregnancy,lactation,truvite urolithiasis,Hyperlipidemia,heart failure,hypoalbuminemia,pancreatitis,","urinary health,kidney health,Heart Health",13.8,30,26.5,57,2.2,5,3.5,8,53.5,116,0.6,1.3,0.31,0.67,0.7,1.52,0.28,0.62,0.12,0.26,,,,,10.53,4.85,1.02,0.47,,,0.0002,0.0005,801,173.8," E,B1,B6,B3,B5,B2,B7,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P45,Hills,Dog,c/d low Fat Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Rice,Barley,Corn,Chicken,Egg,flaxseed","Moderate Protein,Low Fat,Low Fiber,High Carb","pregnancy,lactation,urinary problems,struvite,n-calcium oxalate crystalluria","urinary health,kidney health",22,60,7.3,20,0.9,3,5.9,16,65.1,177,0.69,1.87,0.58,1.58,0.7,1.91,0.24,0.65,0.085,0.23,,,,,5.33,1.96,1.23,0.45,,,0.0003,0.0009,735,200.1," E,B3,B1,A,B5,B7,B12,B6,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P46,Hills,Dog,c/d low Fat Dog Food (Vegetables & Turkey),"small,medium,large",Stew,M,Adult,Yes,"Pork Liver,Turkey,Rice,Pea,potato,Barley,Pea,carrot","Moderate Protein,Low Fat,Moderate Fiber,High Carb","pregnancy,lactation,urinary problems,struvite,n-calcium oxalate crystalluria","urinary health,kidney health",23.2,65,8.2,23,4,11,10.2,29,58.2,164,0.93,2.63,0.63,1.76,1.01,2.85,0.28,0.79,0.086,0.24,,,,,5.85,2.08,1.44,0.51,,,0.0011,0.0032,997,280.7," E,B1,B3,B5,B12,B6,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P47,Hills,Dog,t/d Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Rice,Corn,chicken,Egg,soy",",Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation,periodontal disease",Dental Health,18.3,48,16.5,44,10.8,29,18.4,49,49.9,132,0.63,1.67,0.45,1.2,0.76,2,0.25,0.66,0.08,0.21,,,,,10.1,3.83,0.64,0.24,,,0.019,0.0501,746,197," B3,B1,A,B5,B2,B7,B12,B6,B9,D3",,,,,,,,,,,,,,,
H_D_P48,Hills,Dog,t/d Dog Food (Small Bites Chicken Flavor),small,Dry,M,Adult,Yes,"Rice,Corn,chicken,Egg,soy",",Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation,periodontal disease",Dental Health,18.3,48,16.5,44,10.8,29,18.4,49,49.9,132,0.63,1.67,0.45,1.2,0.76,2,0.25,0.66,0.08,0.21,,,,,10.1,3.83,0.64,0.24,,,0.019,0.0501,746,197," B3,B1,A,B5,B2,B7,B12,B6,B9,D3",,,,,,,,,,,,,,,
H_D_P49,Hills,Dog,k/d Dog Food (with Lamb),"small,medium,large",Dry,M,Adult,Yes,"Brown Rice,Rice,Lamb,soy,Barley,Egg,beet",",Low Protein,High Fat,Low Fiber,High Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Kidney Health,Healthy Immune System",15.8,36,22.5,51,1.8,4,6.8,16,55.4,126,0.66,1.51,0.31,0.72,0.75,1.7,0.16,0.36,0.17,0.27,,,,,9.88,4.35,2.73,1.2,,,0.0126,0.0286,750,170.3," B3,B1,B6,B5,B2,B7,A,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P50,Hills,Dog,k/d Dog Food (with Chicken),"small,medium,large",Dry,M,Adult,Yes,"Rice,Brown Rice,sorghum,Chicken,corn,Egg,beet",",Low Protein,High Fat,Low Fiber,High Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Kidney Health,Healthy Immune System",15.6,36,21.1,49,1.5,3,5.5,13,57.1,132,0.79,1.82,0.29,0.68,0.75,1.73,0.17,0.39,0.1,0.23,,,,,9.34,4.05,1.97,0.85,,,0.0166,0.0383,726,167.3," B3,B1,B5,B6,A,B2,B7,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P51,Hills,Dog,k/d Dog Food (with Lamb),"small,medium,large",Canned,M,Adult,Yes,"Pork Liver,Corn,Lamb,oat,flaxseed,beet",",Low Protein,High Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Kidney Health,Healthy Immune System",15.3,34,26,58,3.4,8,7.8,17,49.8,111,0.8,1.79,0.27,0.6,0.9,2,0.2,0.45,0.15,0.33,,,,,8.46,3.8,4.93,2.22,,,0.0136,0.0303,836,186," E,B1,C,B3,A,B5,B12,B6,B2,K,B7,B9,D3",,,,,,,,,,,,,,,
H_D_P52,Hills,Dog,k/d Dog Food (with Chicken),"small,medium,large",Canned,M,Adult,Yes,"Pork Liver,Chicken,Corn,Egg,oat,flaxseed,beet",",Low Protein,High Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Kidney Health,Healthy Immune System",15.7,35,26.1,58,3.5,8,8.2,18,49.3,110,0.79,1.75,0.27,0.59,0.9,1.99,0.18,0.39,0.14,0.31,,,,,9.03,4.06,5.63,2.53,,,0.0143,0.0318,748,166.3," B1,B3,A,B5,B12,B6,B2,B7,K,B9,D3",,,,,,,,,,,,,,,
H_D_P53,Hills,Dog,k/d Dog Food (Chicken & Vegetable),"small,medium,large",Stew,M,Adult,Yes,"Chicken,Pork Liver,Rice,Egg,oat,carrot",",Low Protein,High Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Kidney Health,Healthy Immune System",16,36,24.5,55,3,7,9.8,22,52.3,117,0.77,1.73,0.28,0.62,0.77,1.73,0.15,0.33,0.14,0.31,,,,,8.59,3.84,3.78,1.69,,,0.017,0.038,897,200.7," B1,B3,A,B5,B12,B6,B2,B7,K,B9,D3",,,,,,,,,,,,,,,
H_D_P54,Hills,Dog,k/d Dog Food (Beef & Vegtable Stew),"small,medium,large",Stew,M,Adult,Yes,"Beef,Pork Liver,Rice,Egg,oat,carrot,pea,flaxseed",",Low Protein,High Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Kidney Health,Healthy Immune System",15.9,36,23.8,54,35,8,9.6,22,52.5,119,0.77,1.75,0.3,0.68,0.93,2.11,0.17,0.38,0.14,0.31,,,,,8.3,3.66,3.02,1.33,,,0.0175,0.0397,812,184.2," B1,B3,A,B5,B12,B6,B2,B7,K,B9,D3",,,,,,,,,,,,,,,
H_D_P55,Hills,Dog,k/d Dog Food (Chicken & Vegetable Stew),"small,medium,large",Stew,M,Adult,Yes,"Chicken,Pork Liver,Rice,Egg,oat,carrot,pea,flaxseed,beet",",Low Protein,High Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Kidney Health,Healthy Immune System",16,36,24.5,55,3,7,9.8,22,52.3,117,0.77,1.73,0.28,0.62,0.78,1.74,0.15,0.33,0.14,0.31,,,,,8.59,3.84,3.78,1.69,,,0.017,0.038,896,200.7," B1,B3,A,B5,B12,B6,B2,B7,K,B9,D3",,,,,,,,,,,,,,,
H_D_P56,Hills,Dog,k/d + j/d Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Rice,Chicken,Egg,Corn,oat,flaxseed,beet","Low Sodium,Low Protein,High Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Kidney Health,bone and joint health,Maintain Muscle Mass",15.9,37,23.4,54,3.8,9,9.7,22,51.7,119,0.85,1.94,0.29,0.66,0.83,1.91,0.2,0.46,0.13,0.3,,,,,8.62,3.76,8.89,3.88,,,0.0144,0.033,673,154.4," B3,B1,B5,A,B2,B7,B6,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P57,Hills,Dog,k/d + j/d Dog Food (Chicken & Vegetable Stew),"small,medium,large",Stew,M,Adult,Yes,"Chicken,Pork Liver,Rice,Egg,oat,carrot,pea,flaxseed","Low Sodium,Low Protein,High Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Kidney Health,bone and joint health,Maintain Muscle Mass",15.6,35,24.6,55,3.9,9,10.3,23,51.9,117,0.77,1.74,0.32,0.72,0.85,1.9,0.16,0.37,0.09,0.19,,,,,10.05,4.47,10.14,4.51,,,0.0143,0.032,565,126.9," B1,B3,B5,B12,B6,B7,B2,B9",,,,,,,,,,,,,,,
H_D_P58,Hills,Dog,ONC Care Dog Food (with Chicken),"small,medium,large",Dry,M,Adult,Yes,"Chicken,Wheat,Corn,Brown Rice,Barley,Egg,soy",",High Protein,High Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,urinary problems,kidney disease,Hyperlipidemia,heart failure,pancreatitis","Recovery,Surgery,Cancer",30.8,68,26.4,58,2.5,6,8.4,18,34.3,76,0.93,2.06,0.62,1.37,0.85,1.89,0.36,0.8,0.101,0.22,,,,,9.54,4.31,2.77,1.25,,,0.023,0.051,740,163.8," B3,B1,B5,A,B2,B7,B6,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P59,Hills,Dog,ONC Care Dog Food (Chicken & Vegetable Stew),"small,medium,large",Stew,M,Adult,Yes,"Pork Liver,Chicken,Rice,Egg,Pea,carrot,wheat",",High Protein,High Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,urinary problems,kidney disease,Hyperlipidemia,heart failure,pancreatitis","Recovery,Surgery,Cancer",32.4,73,24.2,55,2.2,5,8.2,18,35.6,80,0.87,1.95,0.65,1.47,0.75,1.69,0.35,0.79,0.095,0.21,,,,,11.33,5.02,3.77,1.67,,,0.0172,0.0388,728,164.3," B1,B3,B5,B12,B6,B7,D3,B2,B9",,,,,,,,,,,,,,,
H_D_P60,Hills,Dog,j/d Dog Food (with Lamb),"small,medium,large",Canned,M,Adult,Yes,"Rice,Lamb Liver,Pork,Corn,Lamb,Barley,Egg,soy","Weight Management,Moderate Protein,Moderate Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation","bone and joint health,Heart Health,Healthy Immune System,Maintain Muscle Mass,Skin Health",19.6,48,17.6,44,4.1,10,8.6,21,53.6,132,0.79,1.96,0.6,1.49,0.75,1.86,0.26,0.65,0.105,0.26,,,,,6.64,2.68,9.5,3.84,,,0.0151,0.0374,783,193.5," B1,B3,B5,B12,B6,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P61,Hills,Dog,I/d Dog Food (Chicken Flavor),"small,medium,large",Dry,MG,all,Yes,"Rice,Chicken,Egg,soy,Flaxseed","Low Sodium,Moderate Protein,High Fat,Low Fiber,Moderate Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Liver Health,Healthy Immune System,Gastrointestinal Health",18.1,41,23.9,55,3,7,6.8,16,49.2,112,0.94,2.14,0.69,1.57,0.99,2.25,0.18,0.42,0.084,0.19,,,,,10.6,4.66,2.52,1.11,,,0.0125,0.0285,850,193.5," B3,B1,A,B5,B6,B7,B12,B2,B9,D3,K",,,,,,,,,,,,,,,
H_D_P62,Hills,Dog,I/d Dog Food (Chicken Flavor),"small,medium,large",Canned,MG,all,Yes,"Rice,soy,Corn,Egg,Rice","Low Sodium,Moderate Protein,High Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Liver Health,Healthy Immune System,Gastrointestinal Health",18.9,44,23.4,54,3,7,7.3,17,48.6,112,0.92,2.12,0.61,1.41,1,2.3,0.22,0.5,0.15,0.35,,,,,14.63,6.37,3.48,1.51,,,0.0266,0.0612,799,183.7," B1,B3,A,B5,B12,B6,B2,K,B7,B9,D3",,,,,,,,,,,,,,,
H_D_P63,Hills,Dog,a/d Dog Food (with Chicken),"small,medium,large",Minced,,Adult,,"Turkey,Pork Liver,Chicken,Corn","Low Carb,High Protein,High Protein,High Fat,Low Fiber","fat intolerant,Hyperlipidemia,heart failure,hepatitis,pancreatitis","Urgent Care,Recovery,Healthy Immune System,Skin Health,Diabetes,Gastrointestinal Health",44,90,33,67,0.1,0,0.9,2,13.1,27,1.26,2.57,1.16,2.37,1.19,2.42,0.89,1.82,0.105,0.21,,,,,13.7,6.71,4.98,2.44,,,0.0371,0.0757,768,156.8," B1,B6,B3,B5,B12,B2,B7,B9,D3",,,,,,,,,,,,,,,
H_D_P64,Hills,Dog,b/d Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Corn,Chicken,Wheat,Rice,flaxseed,beet",",Moderate Protein,Moderate Fat,Moderate Fiber,High Carb","pregnancy,lactation","Brain Health,bone and joint health,urinary health,kidney health",19.1,48,14.4,36,2.9,7,11.1,28,59,149,0.72,1.82,0.6,1.52,0.74,1.87,0.15,0.39,0.122,0.31,,,,,9.55,3.78,2.74,1.08,,,0.0233,0.0588,1057,267.2," B3,B1,A,B5,B2,B7,B12,B6,B9,D3",,,,,,,,,,,,,,,
H_D_P65,Hills,Dog,g/d Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Rice,chicken,Wheat,Corn,sorghum,Egg,flaxseed",",Moderate Protein,Moderate Fat,Low Fiber,High Carb","pregnancy,lactation","Aging Care,urinary health,kidney health,Heart Health",18.5,48,11,29,1,3,4.1,11,64.6,168,0.81,2.11,0.42,1.11,0.8,2.08,0.23,0.6,0.085,0.22,,,,,8.27,3.18,2.08,0.8,,,0.0194,0.0505,673,175.3," B3,B1,A,B5,B2,B7,B12,B6,B9,D3",,,,,,,,,,,,,,,
H_D_P66,Hills,Dog,g/d Dog Food (Turkey Flavor),"small,medium,large",Canned,M,Adult,Yes,"Corn,Pork Liver,Rice,Pork,Turkey,beet,flaxseed",",Moderate Protein,Moderate Fat,Low Fiber,High Carb","pregnancy,lactation","Aging Care,urinary health,kidney health,Heart Health",18.6,49,10.6,28,1.8,5,5.9,16,64.6,170,0.76,2,0.42,1.09,0.71,1.88,0.21,0.56,0.068,0.18,,,,,6.21,2.36,1.83,0.7,,,0.0132,0.0348,784,206.1," B1,B3,B5,B12,B6,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P67,Hills,Dog,h/d Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Wheat,Corn,chicken,Barley,Corn,soy",",Moderate Protein,High Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation,sodium depletion states,Hyperlipidemia,heart failure,pancreatitis","Heart Health,urinary health,kidney health,Liver Health",19.8,45,21.2,49,1.6,4,8.3,19,53,122,0.7,1.61,0.45,1.03,0.75,1.72,0.11,0.26,0.14,0.32,,,,,11.44,4.98,0.76,0.33,,,0.0144,0.0331,788,181.1," B3,B1,B6,B5,B2,A,B7,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P68,Hills,Dog,h/d Dog Food (with Chicken),"small,medium,large",Canned,M,Adult,Yes,"Chicken,Pork Liver,Corn,Rice",",Low Protein,High Fat,Low Fiber,Moderate Carb","pregnancy,lactation,sodium depletion states,Hyperlipidemia,heart failure,pancreatitis","Heart Health,urinary health,kidney health,Liver Health",17.3,37,26.2,56,0.6,1,2.9,6,51.6,111,0.65,1.4,0.47,1.02,0.74,1.58,0.12,0.25,0.148,0.32,,,,,11.05,5.15,2.16,1,,,0.0142,0.0305,868,186.3," B1,B3,B5,B12,B6,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P69,Hills,Dog,j/d Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Wheat,Corn,Chicken,Flaxseed","Weight Management,Moderate Protein,Moderate Fat,High Fiber,High Carb","pregnancy,lactation","bone and joint health,Heart Health,Healthy Immune System,Maintain Muscle Mass,Skin Health",20,50,15.9,40,4.1,10,13.5,34,55.4,139,0.7,1.74,0.6,1.51,0.7,1.75,0.2,0.51,0.134,0.33,,,,,7.73,3.08,9.02,3.6,,,0.0157,0.0393,746,187," B3,B1,A,B5,B2,B7,B12,B6,B9,D3",,,,,,,,,,,,,,,
R_D_P01,Rayne,Dog,ADULT HEALTH-RSS,"small,medium,large",Dry,M,Adult,,"pork,brown rice,oat,potato,tomato","Moderate sodium,low phosphorus,Moderate Protein,Moderate Fat,Moderate Fiber,Moderate Carb",,"urinary health,kidney health",25.1,63.8,14.9,38,3.1,7.9,9.2,23.4,50.9,129.7,0.86,2.2,0.78,2,0.72,1.8,0.75,1.9,0.13,0.34,24.1,6.1,0.13,0.33,,,,,0.34,0.87,,,,," E,B12,B3,B5,A,B7,B2,B1,D3,B6,B9",,,,,,,,,,,,,,,
R_D_P02,Rayne,Dog,ADULT HEALTH-RSS,"small,medium,large",Chunky Stew,M,Adult,,"pork,potato,red pepper","Moderate sodium,low phosphorus,High Protein,Moderate Fat,Moderate Carb",,"urinary health,kidney health",41.4,99.6,17.2,41.4,1.4,3.3,,,35.6,85.5,0.79,1.9,0.59,1.4,0.85,2,0.38,0.92,0.08,0.2,16.7,4,0.37,0.88,,,,,0.32,0.77,,,,," E,B1,B12,B3,B9,B5,A,B6,B7,B2,D3",,,,,,,,,,,,,,,
R_D_P03,Rayne,Dog,ECODERM-BSFL WITH QUINOA,"small,medium,large",Dry,M,Adult,,"fava beans,quinoa,Oat,millet,flaxseed,Algae","plant_based,Moderate Protein,Moderate Fat,Moderate Carb,non-allergenic",,"Skin Health,Gastrointestinal Health,Heart Health",25.4,65.7,16.3,42,6.4,16.5,,,45.7,118,1,2.6,0.73,1.9,0.74,1.9,0.39,1,0.2,0.51,18.7,4.8,0.17,0.42,,,,,0.66,1.7,,,,," E,B3,B12,A,B1,B6,B2,B5,D3,B7,B9",,,,,,,,,,,,,,,
R_D_P04,Rayne,Dog,GROWTH/ SENSITIVE-GI,"small,medium,large",Dry,MG,all,,"turkey,sweet Potato,pea,tomato,flaxseed,algae","moderate fat,Moderate Protein,Moderate Fat,Moderate Carb",,"Gastrointestinal Health,pancreatitis,food sensitivity",26.2,70.6,12.3,33.1,3.8,10.3,,,50,134.8,1.5,4,1,2.8,0.9,2.5,0.38,1,0.13,0.35,22.6,6.1,0.13,0.34,,,,,0.16,0.45,,,,," E,B12,B3,B5,A,B7,B2,B1,D3,B6,B9",,,,,,,,,,,,,,,
R_D_P05,Rayne,Dog,GROWTH/ SENSITIVE-GI,"small,medium,large",Chunky Stew,MG,all,,"turkey,sweet Potato,pea,tomato,flaxseed,red pepper,algae","moderate fat,High Protein,Moderate Fat,Moderate Carb",,"Gastrointestinal Health,pancreatitis,food sensitivity",45.4,121.4,11.2,30,1.9,5.1,,,34.2,91.4,1.6,4.2,1.3,3.5,1.7,4.4,0.41,1.1,1,0.27,20.6,5.5,0.5,1.33,,,,,0.38,1.03,,,,," E,B1,B12,B3,B9,B5,A,B6,B7,B2,D3",,,,,,,,,,,,,,,
R_D_P06,Rayne,Dog,LOW FAT KANGAROO-MAINT WITH CHICKPEA,"small,medium,large",Dry,M,Adult,,"Kangaroo,chickpea,Potato,pea","High Protein,Low Fat,Moderate Carb,non-allergenic",,"Skin Health,Gastrointestinal Health,Hyperlipidemia,Heart Health,Gall Bladder Diseases,Lymphangiectasia,urinary health,kidney health,Pancreatitis",33.9,93.6,8.4,23.2,2.4,6.6,,,49.2,135.9,0.79,2.2,0.61,1.7,1.4,3.9,0.22,0.61,0.16,0.43,23.3,6.4,0.14,0.38,,,,,0,0,,,,," E,B12,B3,B5,A,B7,B2,B1,D3,B6,B9",,,,,,,,,,,,,,,
R_D_P07,Rayne,Dog,LOW FAT KANGAROO-MAINT WITH QUINOA,"small,medium,large",Dry,M,Adult,,"Kangaroo,quinoa,potato","High Protein,Low Fat,Moderate Carb,non-allergenic",,"Skin Health,Gastrointestinal Health,pancreatitis,Hyperlipidemia,Heart Health,Gall Bladder Diseases,Lymphangiectasia,",33.7,93.1,8.2,22.8,2.1,5.9,,,49.7,137.3,0.83,2.3,0.59,1.6,1.1,3.6,0.23,0.64,0.14,0.4,23.5,6.5,0.15,0.41,,,,,0,0,,,,," E,B12,B3,B5,A,B7,B2,B1,D3,B6,B9",,,,,,,,,,,,,,,
